3,79,5
16,64,3
18,87,1
60,36,1
81,93,2
13,80,10
67,39,4
63,9,9
48,79,7
66,17,6
44,10,6
74,79,5
81,47,4
90,81,8
79,48,6
99,36,7
79,40,9
8,75,1
82,59,5
32,55,9
13,49,2
45,88,2
100,64,4
5,85,10
5,72,6
74,22,10
74,44,6
45,10,10
89,71,10
85,39,5
28,41,1
20,41,3
100,77,9
71,8,1
49,76,8
65,53,9
15,9,2
75,90,9
77,24,5
96,77,8
63,68,2
6,43,7
48,32,6
28,70,8
36,42,6
91,71,6
25,40,10
79,84,5
32,21,2
100,52,6
64,44,5
41,4,5
16,59,6
89,80,9
44,32,8
2,7,7
49,79,9
72,44,7
26,15,7
13,8,2
95,74,4
60,54,1
79,83,5
11,13,7
10,50,5
7,33,4
39,44,3
52,80,6
53,5,4
24,1,6
63,4,9
38,8,6
53,86,2
64,25,3
68,22,6
70,31,4
30,97,1
11,88,2
5,67,7
17,74,8
46,25,1
70,67,4
3,9,1
83,57,6
11,90,9
99,18,10
73,5,1
85,92,1
90,29,9
11,13,9
68,20,3
89,97,6
84,92,10
33,37,4
73,24,5
17,80,10
64,64,1
25,48,3
47,72,8
56,22,3
2,84,7
30,61,10
78,87,6
9,54,9
47,97,8
47,82,7
44,82,2
64,73,4
14,77,5
48,11,2
73,65,1
72,93,8
14,1,5
59,15,3
4,5,10
82,34,1
72,3,6
79,90,4
16,77,3
34,70,6
89,96,2
56,13,4
50,52,8
62,34,10
93,96,4
81,52,3
24,47,4
41,74,10
97,83,8
33,61,1
28,34,10
88,88,3
57,6,3
80,33,9
52,58,4
13,38,3
53,19,1
28,80,1
54,26,6
27,35,1
60,55,8
82,61,3
94,97,2
3,48,1
71,61,2
12,23,4
8,38,10
40,32,4
53,12,3
99,46,7
57,87,9
47,3,5
94,80,10
87,87,8
27,29,5
77,9,6
48,61,7
61,29,9
68,75,9
16,36,10
71,7,9
35,6,4
76,26,8
46,91,5
46,91,8
77,44,10
10,18,9
9,34,4
29,69,5
43,14,3
8,13,7
38,48,7
52,10,9
73,9,9
21,84,7
39,3,8
15,33,8
77,92,5
53,7,3
56,36,7
49,90,2
2,59,3
77,60,8
12,78,8
23,59,3
4,31,7
72,42,7
61,13,9
74,77,5
19,88,5
49,21,6
89,67,5
11,35,8
58,88,10
89,21,4
42,71,6
100,26,6
64,63,6
23,34,1
88,71,8
79,35,6
17,11,6
75,9,9
84,15,9
14,53,6
92,10,9
95,74,8
69,36,1
63,35,2
42,53,5
46,77,5
73,58,8
72,4,7
41,19,1
1,76,1
4,24,1
72,77,7
70,12,4
10,28,7
74,35,7
34,87,5
38,86,7
37,63,2
22,97,4
71,54,5
88,63,3
64,46,1
67,53,7
40,17,5
68,3,9
70,25,10
89,63,7
77,68,9
18,63,4
29,68,4
18,15,6
63,73,6
72,64,7
71,26,2
61,29,10
29,79,7
87,59,10
76,63,4
48,99,4
58,64,9
37,46,8
89,67,6
9,51,9
52,51,9
74,12,1
81,62,7
88,79,3
89,44,5
98,86,3
60,43,5
25,83,4
24,58,10
45,32,5
10,84,2
68,14,6
100,49,6
75,52,10
39,64,3
37,60,9
10,8,8
26,83,5
20,46,5
55,38,10
78,12,1
90,98,2
69,21,10
6,74,2
25,96,6
67,92,2
34,50,4
46,40,6
1,3,7
63,34,4
34,33,10
78,22,5
45,2,3
15,94,5
22,87,3
86,12,5
86,4,3
73,55,4
73,96,5
9,37,4
78,80,2
74,70,6
91,6,3
60,91,2
70,83,2
24,23,8
43,15,4
97,32,6
51,24,6
38,83,9
75,33,8
80,44,3
1,63,5
68,75,8
52,8,6
81,10,4
89,92,7
22,7,7
74,32,7
64,57,8
4,89,1
56,8,2
6,90,9
91,38,2
89,16,8
18,97,9
80,55,6
91,31,8
70,30,9
40,86,7
47,95,8
67,69,5
15,63,1
64,74,2
94,22,1
58,6,7
65,72,5
34,32,9
67,86,3
68,69,1
55,90,2
93,85,1
21,12,4
90,43,7
63,96,2
2,27,5
22,57,8
46,87,5
38,17,10
4,85,6
89,78,1
75,53,2
64,48,2
51,24,8
97,34,7
67,60,9
88,27,8
72,56,3
48,3,6
16,60,8
20,34,1
26,41,7
76,31,7
81,60,10
56,46,9
94,35,8
21,58,2
34,14,2
12,3,9
44,99,4
35,11,6
90,12,5
82,76,9
19,45,2
30,47,9
60,1,7
33,3,5
15,17,3
55,52,5
60,45,8
47,76,3
34,28,8
17,26,2
97,29,9
73,19,9
39,78,10
13,37,8
77,49,9
42,22,7
91,39,9
21,48,5
43,68,7
13,34,4
72,28,10
24,11,8
47,64,9
55,78,6
100,42,4
1,65,10
2,81,9
78,67,1
93,80,4
10,57,9
81,8,4
40,69,7
12,14,4
94,89,6
29,77,4
92,76,9
36,20,8
41,4,6
22,28,8
49,50,10
85,68,8
66,94,3
92,68,4
53,39,8
53,45,5
78,69,2
100,32,8
11,78,6
2,25,6
88,9,7
24,15,6
10,42,9
20,93,3
82,83,1
34,26,4
6,59,1
70,2,10
38,41,3
24,86,10
5,46,9
11,16,9
7,54,5
100,88,2
59,25,5
35,17,8
25,13,1
18,75,2
34,2,5
4,33,9
70,87,5
41,23,10
63,49,8
91,3,4
76,24,8
81,52,4
12,45,1
78,51,8
62,38,1
96,93,10
96,17,6
59,87,10
37,57,8
8,22,1
66,78,7
36,41,9
61,87,10
63,34,7
92,4,10
62,95,8
73,87,7
47,45,8
83,37,9
47,10,9
45,56,1
29,70,4
88,29,1
42,59,9
71,76,3
66,31,9
86,90,2
93,8,8
27,1,1
25,11,9
49,89,1
74,58,9
89,46,5
98,94,8
20,2,9
84,56,6
46,60,1
99,95,10
47,91,5
79,18,8
93,82,6
90,64,1
71,1,4
44,86,4
2,31,9
12,90,10
44,33,9
51,43,4
79,87,5
56,65,9
42,91,6
8,34,4
12,18,10
90,91,5
14,1,6
29,55,2
73,3,2
96,16,5
64,15,8
72,12,5
20,62,8
4,63,6
84,96,6
100,78,3
60,74,9
52,11,8
